Date,Provider,Service,Region,Amount,Usage_Type,Efficiency_Score
2023-01-01,AWS,Snowflake,global,2627.56,reserved,62
2023-01-01,AWS,EC2,global,4112.65,on-demand,50
2023-01-01,SaaS,Snowflake,global,4527.0,on-demand,77
2023-01-01,Azure,SQL Database,global,2058.68,on-demand,83
2023-01-01,SaaS,Databricks,global,4779.61,reserved,77
2023-01-01,Azure,Fabric,global,3426.77,on-demand,30
2023-01-02,AWS,Snowflake,global,1078.02,reserved,74
2023-01-02,Azure,SQL Database,global,1801.08,on-demand,42
2023-01-02,AWS,Databricks,global,3065.27,on-demand,90
2023-01-03,GCP,Compute Engine,global,1676.1,reserved,58
2023-01-03,Azure,AKS,global,4168.0,reserved,36
2023-01-03,SaaS,Databricks,global,3517.86,on-demand,50
2023-01-03,GCP,BigQuery,global,3797.14,on-demand,45
2023-01-03,SaaS,Databricks,global,4103.12,on-demand,71
2023-01-03,AWS,RDS,global,2187.9,on-demand,48
2023-01-04,GCP,Compute Engine,global,3405.37,reserved,32
2023-01-04,Azure,SQL Database,global,2200.66,on-demand,66
2023-01-04,GCP,BigQuery,global,2696.53,reserved,45
2023-01-04,AWS,Snowflake,global,4867.94,on-demand,72
2023-01-04,AWS,Databricks,global,707.88,on-demand,93
2023-01-04,GCP,Compute Engine,global,620.9,on-demand,84
2023-01-05,AWS,RDS,global,2605.86,reserved,82
2023-01-05,Azure,Fabric,global,4951.22,reserved,40
2023-01-05,GCP,Compute Engine,global,1269.62,on-demand,84
2023-01-06,SaaS,Snowflake,global,4051.64,on-demand,53
2023-01-06,SaaS,Snowflake,global,1795.18,on-demand,35
2023-01-06,GCP,Compute Engine,global,3987.01,on-demand,30
2023-01-06,Azure,VMs,global,634.41,on-demand,82
2023-01-06,SaaS,Snowflake,global,756.38,on-demand,52
2023-01-06,SaaS,Snowflake,global,1549.5,on-demand,52
2023-01-07,GCP,Compute Engine,global,3669.47,reserved,30
2023-01-07,AWS,Kubernetes,global,3158.6,on-demand,86
2023-01-07,GCP,BigQuery,global,4639.84,reserved,88
2023-01-07,Azure,VMs,global,4653.77,on-demand,62
2023-01-07,SaaS,Snowflake,global,3864.2,reserved,64
2023-01-08,SaaS,Snowflake,global,4360.33,reserved,52
2023-01-08,Azure,SQL Database,global,3235.63,reserved,92
2023-01-08,GCP,Compute Engine,global,3634.54,reserved,42
2023-01-08,AWS,Snowflake,global,4651.04,on-demand,90
2023-01-08,GCP,BigQuery,global,3622.14,on-demand,70
2023-01-09,SaaS,Snowflake,global,4731.4,on-demand,74
2023-01-09,GCP,BigQuery,global,3791.8,on-demand,91
2023-01-09,SaaS,Snowflake,global,1512.29,reserved,65
2023-01-10,Azure,Fabric,global,761.38,on-demand,89
2023-01-10,AWS,Databricks,global,677.14,on-demand,76
2023-01-10,Azure,VMs,global,2219.43,on-demand,45
2023-01-10,SaaS,Snowflake,global,2715.9,reserved,45
2023-01-11,GCP,BigQuery,global,3300.06,reserved,82
2023-01-11,SaaS,Snowflake,global,2334.43,reserved,38
2023-01-11,SaaS,Databricks,global,981.71,reserved,72
2023-01-12,SaaS,Databricks,global,4013.38,on-demand,43
2023-01-12,GCP,Compute Engine,global,878.99,reserved,88
2023-01-12,Azure,SQL Database,global,3382.35,reserved,85
2023-01-13,GCP,BigQuery,global,4780.45,on-demand,62
2023-01-13,GCP,BigQuery,global,4937.85,on-demand,51
2023-01-13,Azure,SQL Database,global,2498.54,reserved,72
2023-01-13,SaaS,Snowflake,global,3968.49,reserved,87
2023-01-13,GCP,BigQuery,global,3087.25,on-demand,42
2023-01-14,GCP,Compute Engine,global,3701.45,on-demand,42
2023-01-14,AWS,Databricks,global,4670.15,on-demand,75
2023-01-14,Azure,VMs,global,2410.69,on-demand,47
2023-01-15,GCP,BigQuery,global,3218.38,reserved,78
2023-01-15,GCP,Compute Engine,global,1366.02,reserved,71
2023-01-15,GCP,Compute Engine,global,805.44,on-demand,57
2023-01-16,GCP,Compute Engine,global,2523.75,on-demand,37
2023-01-16,Azure,Fabric,global,4996.38,on-demand,93
2023-01-16,AWS,RDS,global,3214.96,on-demand,40
2023-01-16,AWS,Kubernetes,global,3090.26,reserved,32
2023-01-17,AWS,Snowflake,global,2600.42,reserved,74
2023-01-17,Azure,AKS,global,4727.09,on-demand,88
2023-01-17,GCP,BigQuery,global,2574.47,reserved,44
2023-01-17,Azure,AKS,global,4105.46,reserved,51
2023-01-18,SaaS,Databricks,global,2765.53,reserved,41
2023-01-18,GCP,Compute Engine,global,1475.52,reserved,76
